"Ceremony","Y","N"
"29-1957",1,7
"30-1958",2,10
"31-1959",2,8
"32-1960",2,11
"33-1961",1,11
"34-1962",1,13
"35-1963",1,12
"36-1964",2,12
"37-1965",4,14
"38-1966",2,14
"39-1967",2,17
"40-1968",1,15
"41-1969",1,17
"42-1970",2,22
"43-1971",1,12
"44-1972",1,19
"45-1973",1,21
"46-1974",1,20
"47-1975",1,19
"48-1976",1,20
"49-1977",2,22
"50-1978",0,24
"51-1979",0,19
"52-1980",1,22
"53-1981",1,25
"54-1982",2,24
"55-1983",1,24
"56-1984",1,25
"57-1985",0,32
"58-1986",1,29
"59-1987",2,30
"60-1988",5,25
"61-1989",0,32
"62-1990",4,33
"63-1991",0,37
"64-1992",0,37
"65-1993",0,33
"66-1994",1,34
"67-1995",4,42
"68-1996",0,41
"69-1997",0,39
"70-1998",1,43
"71-1999",3,42
"72-2000",0,47
"73-2001",3,43
"74-2002",3,48
"75-2003",1,54
"76-2004",9,47
"77-2005",2,50
"78-2006",1,61
"79-2007",2,61
"80-2008",3,61
"81-2009",3,64
"82-2010",4,63
"83-2011",1,65
"84-2012",1,65
"85-2013",4,69
"86-2014",2,74
"87-2015",7,76
"88-2016",3,79
"89-2017",7,82
"90-2018",6,86
"91-2019",8,81
"92-2020",7,87
"93-2021",9,88
"94-2022",12,81
"95-2023",17,76
"96-2024",4,88
