"AwardCeremony","Director","Documentary","Independent","International","Other","Performance","Top Films","Writing","Films.Y","Films.N","Films","Percentage"
"001-1929",NA,NA,NA,0.2,NA,NA,0.1,NA,2,13,15,"13%"
"002-1930",NA,NA,NA,0,NA,NA,0.2,NA,2,13,15,"13%"
"003-1931",NA,NA,NA,0,NA,NA,0.2,NA,2,13,15,"13%"
"004-1932",NA,NA,NA,0.1,NA,NA,0.1,NA,2,18,20,"10%"
"005-1933",NA,NA,NA,0.2,NA,NA,0.1,NA,3,17,20,"15%"
"006-1934",NA,NA,NA,0,NA,NA,0.2,NA,2,13,15,"13%"
"007-1935",NA,NA,NA,0.1,NA,NA,0.2,NA,3,17,20,"15%"
"008-1936",NA,NA,NA,0,NA,NA,0,NA,0,20,20,"0%"
"009-1937",NA,NA,NA,0,NA,0,0.1,NA,1,20,21,"5%"
"010-1938",NA,NA,NA,0,NA,0.2,0.2,NA,5,18,23,"22%"
"011-1939",NA,NA,NA,0,NA,0.5,0.6,NA,7,11,18,"39%"
"012-1940",NA,0,NA,0,NA,0.5,0.8,NA,9,10,19,"47%"
"013-1941",NA,0,NA,1,NA,0.6,0.7,NA,15,10,25,"60%"
"014-1942",NA,0,NA,NA,NA,0,0,NA,1,25,26,"4%"
"015-1943",0.2,0,NA,NA,NA,0.1,0.1,NA,2,18,20,"10%"
"016-1944",NA,0,NA,NA,NA,0.4,0.1,NA,3,14,17,"18%"
"017-1945",0,NA,NA,NA,NA,1,0.2,NA,3,8,11,"27%"
"018-1946",1,NA,NA,NA,NA,1,0.5,NA,5,5,10,"50%"
"019-1947",0.5,NA,NA,NA,NA,0,0.5,NA,5,7,12,"42%"
"020-1948",0,NA,NA,NA,NA,0.5,0.3,1,3,7,10,"30%"
"021-1949",1,NA,NA,NA,NA,0.5,0.3,0,3,7,10,"30%"
"022-1950",1,NA,NA,0.4,NA,1,0.4,NA,6,9,15,"40%"
"023-1951",1,NA,NA,0.2,NA,0.5,0.5,0,7,10,17,"41%"
"024-1952",0,NA,NA,0,NA,0,0.4,NA,4,12,16,"25%"
"025-1953",0,NA,NA,0.2,NA,0,0.2,NA,3,17,20,"15%"
"026-1954",0,NA,NA,0,NA,0.6,0.5,NA,7,15,22,"32%"
"027-1955",0,NA,NA,0.2,NA,0,0.2,NA,3,14,17,"18%"
"028-1956",0,NA,NA,0.2,NA,0.2,0.1,NA,3,13,16,"19%"
"029-1957",1,NA,NA,0.2,NA,0.2,0.3,NA,4,14,18,"22%"
"030-1958",0,NA,NA,0.2,NA,0,0.3,NA,4,13,17,"24%"
"031-1959",1,NA,NA,0.6,NA,1,0.5,NA,8,7,15,"53%"
"032-1960",0,NA,NA,0.2,NA,0,0.2,NA,3,12,15,"20%"
"033-1961",1,NA,NA,0.2,NA,0.2,0.4,NA,5,11,16,"31%"
"034-1962",1,NA,NA,0.6,NA,0.3,0.1,NA,6,13,19,"32%"
"035-1963",1,NA,NA,0.2,NA,0.7,0.4,NA,6,11,17,"35%"
"036-1964",0,NA,NA,0,NA,0,0.2,NA,2,14,16,"12%"
"037-1965",1,NA,NA,0,NA,0.4,0.7,NA,7,11,18,"39%"
"038-1966",1,NA,NA,0,NA,1,0.3,NA,3,12,15,"20%"
"039-1967",1,NA,NA,0,NA,0,0.3,NA,3,12,15,"20%"
"040-1968",0,NA,NA,0.2,NA,0,0.4,NA,5,13,18,"28%"
"041-1969",1,NA,NA,0,NA,0.5,0.5,NA,5,11,16,"31%"
"042-1970",0,NA,NA,0,NA,0.2,0.2,NA,2,14,16,"12%"
"043-1971",0,NA,NA,0.4,NA,0.3,0.1,NA,3,14,17,"18%"
"044-1972",1,NA,NA,0.2,NA,0.6,0.4,NA,5,10,15,"33%"
"045-1973",1,NA,NA,0.3,NA,0.2,0.4,NA,6,13,19,"32%"
"046-1974",1,NA,NA,0.2,NA,0.8,0.6,NA,7,8,15,"47%"
"047-1975",1,NA,NA,0,NA,0.8,0.5,NA,5,10,15,"33%"
"048-1976",1,NA,NA,0,NA,0.5,0.5,NA,5,11,16,"31%"
"049-1977",0,NA,NA,0,NA,0.7,0.5,NA,5,10,15,"33%"
"050-1978",1,NA,NA,0.2,NA,0.8,0.5,NA,8,9,17,"47%"
"051-1979",0,NA,NA,0,NA,0.7,0.4,NA,5,12,17,"29%"
"052-1980",1,NA,NA,0.2,NA,0.3,0.2,NA,3,12,15,"20%"
"053-1981",1,NA,NA,0,NA,0.7,0.5,NA,6,10,16,"38%"
"054-1982",1,NA,NA,0.4,NA,0.8,0.5,NA,8,8,16,"50%"
"055-1983",1,NA,NA,0.2,NA,0.2,0.3,NA,4,15,19,"21%"
"056-1984",0,NA,NA,0,NA,0,0.2,NA,2,13,15,"13%"
"057-1985",0,NA,NA,0,NA,0.8,0.6,NA,6,9,15,"40%"
"058-1986",1,NA,NA,0,NA,0.8,0.8,NA,8,7,15,"53%"
"059-1987",0,NA,NA,0.2,NA,1,0.7,NA,10,8,18,"56%"
"060-1988",1,0,NA,0,NA,0.7,0.4,NA,4,12,16,"25%"
"061-1989",1,1,NA,0,NA,0.2,0.6,NA,7,10,17,"41%"
"062-1990",1,NA,NA,0,NA,0.5,0.4,NA,4,13,17,"24%"
"063-1991",1,1,NA,0.2,NA,0.8,0.4,NA,6,11,17,"35%"
"064-1992",1,0,NA,0,NA,0.8,0.6,NA,6,11,17,"35%"
"065-1993",0,0,NA,0,0,0.6,0.5,NA,6,11,17,"35%"
"066-1994",1,1,NA,0.2,NA,0.3,0.6,NA,10,10,20,"50%"
"067-1995",1,0,NA,0.2,1,0.7,0.5,NA,9,10,19,"47%"
"068-1996",1,0,0.1,0,0,0.8,0.6,NA,10,24,34,"29%"
"069-1997",0.5,0,0.2,0,0.7,0.2,0.7,NA,9,21,30,"30%"
"070-1998",1,0,0.3,0.2,1,0.4,0.6,1,13,19,32,"41%"
"071-1999",1,0,0.1,0.2,0.2,0.5,0.5,1,9,24,33,"27%"
"072-2000",1,0,0.6,0.2,0.2,0.4,0.6,0,16,21,37,"43%"
"073-2001",1,0,0.2,0.2,0.2,0.5,0.8,1,16,23,39,"41%"
"074-2002",0.3,1,0.2,0.2,0,0.3,0.5,0.3,12,27,39,"31%"
"075-2003",1,0.8,0.7,0.2,0.5,0.9,0.8,1,26,13,39,"67%"
"076-2004",1,0.2,0.2,0.6,0.8,0.9,0.9,1,23,19,42,"55%"
"077-2005",0.5,0.6,0.4,0,0.3,0.7,0.8,1,20,22,42,"48%"
"078-2006",1,0.4,0.3,0.2,0,0.9,0.9,0.5,20,18,38,"53%"
"079-2007",1,0,0.2,0.2,0.5,0.9,1,1,17,20,37,"46%"
"080-2008",0.5,0.2,0.4,0,0,1,0.7,1,14,21,35,"40%"
"081-2009",0,0.2,0.2,0,0.4,0.7,0.7,1,14,22,36,"39%"
"082-2010",0.5,0.2,0,0,0.3,0.5,0.7,0.5,10,27,37,"27%"
"083-2011",1,0,0.6,0.2,0.4,0.8,0.9,1,19,21,40,"48%"
"084-2012",1,0.3,0.2,0.3,0.5,0.7,0.9,1,18,20,38,"47%"
"085-2013",0.5,0,0.2,0.2,0.5,0.6,0.8,1,12,24,36,"33%"
"086-2014",1,0.5,0.6,0.2,0.7,0.3,0.8,1,21,16,37,"57%"
"087-2015",0.5,0.2,0.3,0,0.3,0.8,1,1,15,20,35,"43%"
"088-2016",0.5,0,0.2,0.5,0,0.8,0.9,1,16,19,35,"46%"
"089-2017",1,0.2,0.2,0.5,0.3,1,0.9,1,18,19,37,"49%"
"090-2018",1,0.5,0.3,0.3,0.5,1,1,1,23,16,39,"59%"
"091-2019",0.5,0.2,0.4,0.5,0.8,1,0.8,1,19,18,37,"51%"
"092-2020",0,0.2,0.1,0.3,0.7,0.6,0.6,0.5,12,22,34,"35%"
"093-2021",0.5,1,0.3,0.8,1,0.8,1,1,25,9,34,"74%"
"094-2022",1,0.3,0.5,0.8,1,1,1,1,24,10,34,"71%"
"Not Seen",39,106,199,391,65,247,491,8,NA,NA,NA,NA
"Seen",72,37,84,78,48,252,493,43,NA,NA,NA,NA
"Total",111,143,283,469,113,499,984,51,772,1341,2113,"37%"
